run_id,rep,window_start_s,window_end_s,duration,decode_s,decode_s_int,prefill_est_s,j_pre,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_pre,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,1,558851.20,558864.28,12.430,3.297,2.070,4.513,16.093,5.521,0.184,51,30,2.667,10,3,1.040,1.060,decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.07/3.30 s = 63%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,2,558864.28,558880.62,15.550,3.333,2.070,4.513,17.886,5.497,0.183,51,30,2.811,13,3,1.040,1.060,decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.07/3.33 s = 62%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,3,558880.62,558896.99,15.590,3.297,3.110,4.513,15.743,7.253,0.242,51,30,2.356,12,4,1.040,1.060,
