run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_none_PURE,1,581283.30,581375.13,91.020,6.387,10.784,74.659,7.180,10.340,73.500,15.270,25.768,172.977,0.848,52,204,2.361,7,10,72,1.030,1.050,manifest campaign_gen_tps_r1 (3.9) differs from this run's speed line (2.7) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,2,581375.13,581474.83,99.280,9.894,12.495,77.312,10.300,12.410,76.570,16.296,25.905,173.374,0.850,52,204,2.267,10,12,75,1.030,1.050,manifest campaign_gen_tps_r2 (3.9) differs from this run's speed line (2.6) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,3,581474.83,581575.92,99.350,9.891,12.711,78.488,9.310,13.490,76.550,15.405,27.579,172.069,0.843,52,204,2.251,9,13,75,1.030,1.050,manifest campaign_gen_tps_r3 (3.9) differs from this run's speed line (2.6) - wrong manifest/campaign pairing?
