run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,1,108016.40,108028.06,11.400,4.333,3.901,3.426,5.190,3.110,3.100,0.000,0.000,0.000,0.000,51,30,,5,3,4,1.030,1.050,manifest campaign_gen_tps_r1 (9.1) differs from this run's speed line (8.8) - wrong manifest/campaign pairing?; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,2,108028.06,108041.82,12.940,7.215,3.527,3.018,6.490,4.290,2.160,0.000,0.000,0.000,0.000,51,30,,8,5,4,1.030,1.050,manifest campaign_gen_tps_r2 (9) differs from this run's speed line (9.9) - wrong manifest/campaign pairing?; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,3,108041.82,108055.23,11.430,7.094,3.287,3.029,6.170,4.230,1.030,0.000,0.000,0.000,0.000,51,30,,6,5,2,1.030,1.050,manifest campaign_gen_tps_r3 (9.1) differs from this run's speed line (9.9) - wrong manifest/campaign pairing?; decode bucket low-resolution: 1 interval(s) attributed to decode (coverage 1.03/3.03 s = 34%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
