run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_none_REP,1,107504.77,107568.49,62.950,12.887,8.470,42.363,13.800,8.300,40.850,0.000,0.000,0.000,0.000,73,256,,17,9,48,1.030,1.050,manifest campaign_gen_tps_r1 (3.6) differs from this run's speed line (6) - wrong manifest/campaign pairing?; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
LFM2.5-2.6B-Q4_K_M_none_REP,2,107568.49,107628.40,59.220,8.168,8.502,43.240,8.400,8.400,42.420,0.000,0.000,0.000,0.000,73,256,,9,9,51,1.030,1.050,manifest campaign_gen_tps_r2 (3.6) differs from this run's speed line (5.9) - wrong manifest/campaign pairing?; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
LFM2.5-2.6B-Q4_K_M_none_REP,3,107628.40,107692.50,62.580,8.201,8.623,47.276,8.270,8.390,45.920,0.000,0.000,0.000,0.000,73,256,,8,9,50,1.030,1.050,manifest campaign_gen_tps_r3 (3.6) differs from this run's speed line (5.4) - wrong manifest/campaign pairing?; implied decode power 0.00 W (j_decode / decode_s) outside the 0.1-20 W sanity band - stamped timing or energy window needs review
