t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107964.11,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107965.15,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107966.19,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107967.23,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107968.27,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107969.30,,,,,1228800:1228800:1228800:1785600:1785600:1785600:1785600:2092800
107970.33,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107971.36,,,,,1017600:1017600:1017600:1785600:1785600:1785600:1785600:2092800
107972.40,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107973.44,,,,,1017600:1017600:1017600:1785600:1785600:1785600:1785600:2092800
107974.48,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107975.52,,,,,1017600:1017600:1017600:1785600:1785600:1785600:1785600:2092800
107976.56,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107977.60,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107978.64,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107979.68,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107980.72,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
107981.76,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107982.79,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107983.81,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107984.84,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107985.87,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107986.90,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107987.91,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107988.93,,,,,787200:787200:787200:1920000:1920000:1920000:1920000:2227200
107989.97,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107990.07,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107990.17,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107990.27,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107991.30,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
107992.34,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107993.36,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107994.38,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107995.42,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107996.45,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107997.48,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107997.57,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107997.68,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107998.70,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107999.73,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
