t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107571.96,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107572.99,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107574.02,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107575.06,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107576.10,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107577.14,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107578.18,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107579.22,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107580.26,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107581.30,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107582.33,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107583.36,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107583.48,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3187200
107584.51,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3187200
107585.54,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107586.58,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3187200
107587.62,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107587.77,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107588.81,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3187200
107589.84,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107589.97,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107590.08,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107591.11,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107592.14,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3360000
107593.16,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107594.19,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107594.27,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3360000
107594.38,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107595.42,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107596.44,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107596.57,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107596.67,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107597.70,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107598.74,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107599.78,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107600.83,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107601.85,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107602.89,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3187200
107603.91,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3187200
107604.93,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107605.98,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107607.01,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107608.05,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107608.18,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107609.20,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107609.27,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3187200
107610.31,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107611.36,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107612.39,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107613.43,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107614.47,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107615.50,,,,,1785600:1785600:1785600:2803200:2803200:2803200:2803200:3187200
107616.52,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107617.56,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107617.67,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3187200
107618.70,,,,,1017600:1017600:1017600:2803200:2803200:2803200:2803200:3187200
107619.73,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3187200
107620.76,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107621.78,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3187200
107622.82,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3187200
107623.85,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3187200
107624.88,,,,,1785600:1785600:1785600:2803200:2803200:2803200:2803200:3187200
107625.90,,,,,1900800:1900800:1900800:2803200:2803200:2803200:2803200:3187200
107626.93,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3187200
107627.96,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3187200
107628.99,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3187200
107630.01,,,,,1670400:1670400:1670400:2592000:2592000:2592000:2592000:2841600
107631.05,,,,,672000:672000:672000:2592000:2592000:2592000:2592000:2841600
107632.08,,,,,1017600:1017600:1017600:2592000:2592000:2592000:2592000:2841600
107633.12,,,,,556800:556800:556800:2592000:2592000:2592000:2592000:2841600
107634.16,,,,,1228800:1228800:1228800:2592000:2592000:2592000:2592000:2841600
107635.19,,,,,1344000:1344000:1344000:2592000:2592000:2592000:2592000:2841600
107636.23,,,,,902400:902400:902400:2592000:2592000:2592000:2592000:2841600
107637.26,,,,,556800:556800:556800:2592000:2592000:2592000:2592000:2841600
107638.31,,,,,1459200:1459200:1459200:2592000:2592000:2592000:2592000:2841600
107639.34,,,,,1459200:1459200:1459200:2803200:2803200:2803200:2803200:2956800
107640.37,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:2956800
107641.40,,,,,1459200:1459200:1459200:2803200:2803200:2803200:2803200:2956800
107642.44,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:2956800
107643.47,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:2956800
107643.57,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:2956800
107644.61,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:2956800
107645.65,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:2956800
107646.68,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:2956800
107647.71,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:2956800
107648.75,,,,,1459200:1459200:1459200:2803200:2803200:2803200:2803200:2956800
107649.78,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:2956800
107650.81,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:2956800
107651.86,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:2956800
107652.88,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:2956800
107653.91,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:2956800
107654.93,,,,,2016000:2016000:1900800:2803200:2803200:2803200:2803200:2956800
107655.95,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:2956800
107656.98,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:2956800
107658.00,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:2956800
107659.01,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:2956800
107660.03,,,,,787200:787200:787200:2457600:2457600:2457600:2457600:2726400
107661.06,,,,,672000:672000:672000:2457600:2457600:2457600:2457600:2726400
107662.09,,,,,672000:672000:672000:2457600:2457600:2457600:2457600:2726400
107663.12,,,,,556800:556800:556800:2457600:2457600:2457600:2457600:2726400
107663.27,,,,,1344000:1344000:1344000:2457600:2457600:2457600:2457600:2726400
107664.31,,,,,1459200:1459200:1459200:2457600:2457600:2457600:2457600:2726400
107665.33,,,,,1900800:1900800:1900800:2457600:2457600:2457600:2457600:2726400
107666.35,,,,,1344000:1344000:1344000:2457600:2457600:2457600:2457600:2726400
107667.38,,,,,1900800:1900800:1900800:2457600:2457600:2457600:2457600:2726400
107668.40,,,,,672000:672000:672000:2457600:2457600:2457600:2457600:2726400
107669.44,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107670.48,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107670.57,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107671.62,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107671.77,,,,,1344000:556800:556800:2323200:2323200:2323200:2323200:2592000
107672.82,,,,,1900800:1900800:1900800:2323200:2323200:2323200:2323200:2592000
107673.85,,,,,1113600:1113600:1113600:2323200:2323200:2323200:2323200:2592000
