t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107772.16,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107772.27,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107773.30,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107774.33,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107775.36,,,,,1113600:1113600:1113600:2054400:2054400:2054400:2054400:2342400
107776.39,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107777.43,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107778.46,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107779.50,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107779.57,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107780.60,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107781.62,,,,,1459200:1459200:1459200:2054400:2054400:2054400:2054400:2342400
107782.65,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107783.69,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107784.71,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107784.87,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107785.90,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
107786.93,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107787.08,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107788.12,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107789.15,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107790.19,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107791.21,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107792.25,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107793.28,,,,,1017600:1017600:1017600:1920000:1920000:1920000:1920000:2227200
107794.32,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107795.36,,,,,1017600:1017600:1017600:1920000:1920000:1920000:1920000:2227200
107796.40,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107797.43,,,,,1113600:1113600:1113600:1920000:1920000:1920000:1920000:2227200
107798.46,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
