run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_none_PURE,1,580388.76,580478.21,88.860,6.376,10.539,72.535,7.190,10.320,71.350,15.208,27.049,171.262,0.840,52,204,2.410,7,10,70,1.030,1.050,manifest campaign_gen_tps_r1 (3.9) differs from this run's speed line (2.8) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,2,580478.21,580575.70,96.190,9.655,11.770,76.066,9.280,12.420,74.490,14.863,27.322,175.004,0.858,52,204,2.355,9,12,73,1.030,1.050,manifest campaign_gen_tps_r2 (3.9) differs from this run's speed line (2.7) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,3,580575.70,580676.51,100.320,9.623,12.268,78.919,10.310,12.420,77.590,17.035,26.267,179.283,0.879,52,204,2.315,10,12,76,1.030,1.050,manifest campaign_gen_tps_r3 (3.9) differs from this run's speed line (2.6) - wrong manifest/campaign pairing?
