run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,1,580860.73,580873.12,12.350,4.353,4.392,3.646,5.120,4.130,3.100,9.812,10.621,9.564,0.319,51,30,3.002,5,4,4,1.030,1.040,manifest campaign_gen_tps_r1 (9.1) differs from this run's speed line (8.2) - wrong manifest/campaign pairing?
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,2,580873.12,580888.32,13.420,7.446,4.297,3.457,7.220,4.140,2.060,12.163,11.579,6.777,0.226,51,30,3.344,7,4,3,1.030,1.040,manifest campaign_gen_tps_r2 (9) differs from this run's speed line (8.7) - wrong manifest/campaign pairing?; decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.06/3.46 s = 60%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,3,580888.32,580903.60,14.450,7.669,4.298,3.313,8.250,4.130,2.070,12.262,11.604,7.074,0.236,51,30,3.475,8,4,3,1.030,1.040,decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.07/3.31 s = 62%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
