block,order,arm,tok_s,s_per_tok,read_mib_per_tok,cache_hit_pct,rereads_per_tok,batt,temp,rc
1,1,A,2.969,0.337,53.61,39.5,15.7,37,310,0
1,2,B,2.140,0.467,197.01,28.3,93.4,37,310,0
1,3,B,2.162,0.463,197.01,28.3,93.4,36,320,0
1,4,A,2.943,0.340,53.61,39.5,15.7,36,320,0
2,1,A,2.954,0.338,53.61,39.5,15.7,36,320,0
2,2,B,2.151,0.465,197.01,28.3,93.4,36,320,0
2,3,B,2.131,0.469,197.01,28.3,93.4,36,330,0
2,4,A,2.957,0.338,53.61,39.5,15.7,35,330,0
