block,order,arm,tok_s,s_per_tok,read_mib_per_tok,cache_hit_pct,rereads_per_tok,batt,temp,rc
1,1,A,3.007,0.333,53.61,39.5,15.7,37,300,0
1,2,B,2.080,0.481,197.01,28.3,93.4,37,300,0
1,3,B,2.149,0.465,197.01,28.3,93.4,37,300,0
1,4,A,2.967,0.337,53.61,39.5,15.7,37,310,0
