block,order,arm,tok_s,s_per_tok,read_mib_per_tok,cache_hit_pct,rereads_per_tok,batt,temp,rc
1,1,A,5.691,0.176,53.61,39.5,15.7,90,341,0
1,2,B,3.163,0.316,197.01,28.3,93.4,90,341,0
1,3,B,3.150,0.317,197.01,28.3,93.4,90,353,0
1,4,A,2.382,0.420,53.61,39.5,15.7,90,363,0
2,1,A,2.914,0.343,53.61,39.5,15.7,89,356,0
2,2,B,1.418,0.705,197.01,28.3,93.4,89,350,0
