run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-1.2B-Instruct-Q4_K_M_none_REP,1,579870.96,579910.79,39.100,4.578,6.085,29.167,5.120,6.190,27.790,9.780,16.480,100.875,0.394,72,256,3.614,5,6,28,1.030,1.050,manifest campaign_gen_tps_r1 (8.4) differs from this run's speed line (8.8) - wrong manifest/campaign pairing?
LFM2.5-1.2B-Instruct-Q4_K_M_none_REP,2,579910.79,579953.78,42.230,7.670,6.087,29.233,8.250,6.200,27.780,12.790,17.067,103.670,0.405,72,256,3.727,8,6,28,1.030,1.050,manifest campaign_gen_tps_r2 (8.4) differs from this run's speed line (8.8) - wrong manifest/campaign pairing?
LFM2.5-1.2B-Instruct-Q4_K_M_none_REP,3,579953.78,579996.73,42.200,7.700,6.077,29.173,7.220,6.200,28.780,9.921,16.330,105.905,0.414,72,256,3.658,7,6,29,1.030,1.050,manifest campaign_gen_tps_r3 (8.4) differs from this run's speed line (8.8) - wrong manifest/campaign pairing?
