run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_none_REP,1,579379.71,579467.98,87.510,8.041,14.787,65.442,8.190,15.460,63.860,20.093,39.239,222.317,0.868,73,256,3.481,8,15,63,1.030,1.040,manifest campaign_gen_tps_r1 (3.6) differs from this run's speed line (3.9) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_REP,2,579467.98,579557.71,88.510,9.663,14.775,65.292,10.290,14.430,63.790,16.621,37.053,225.663,0.881,73,256,3.538,10,14,63,1.030,1.040,manifest campaign_gen_tps_r2 (3.6) differs from this run's speed line (3.9) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_REP,3,579557.71,579647.47,89.590,9.411,14.818,65.531,10.290,14.440,64.860,16.777,37.656,230.994,0.902,73,256,3.561,10,14,64,1.030,1.040,manifest campaign_gen_tps_r3 (3.6) differs from this run's speed line (3.9) - wrong manifest/campaign pairing?
