run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,1,580004.33,580016.36,11.320,4.533,4.297,3.200,5.120,4.130,2.070,9.324,11.726,7.594,0.253,51,30,3.707,5,4,3,1.030,1.040,manifest campaign_gen_tps_r1 (9.1) differs from this run's speed line (9.4) - wrong manifest/campaign pairing?; decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.07/3.20 s = 65%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,2,580016.36,580031.48,14.430,7.606,4.296,3.218,8.250,4.120,2.060,11.984,11.618,7.464,0.249,51,30,3.614,8,4,3,1.030,1.040,manifest campaign_gen_tps_r2 (9) differs from this run's speed line (9.3) - wrong manifest/campaign pairing?; decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.06/3.22 s = 64%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
LFM2.5-1.2B-Instruct-Q4_K_M_none_PURE,3,580031.48,580046.60,13.430,7.612,4.298,3.210,7.250,4.130,2.050,9.983,10.679,7.604,0.253,51,30,3.389,7,4,3,1.030,1.040,manifest campaign_gen_tps_r3 (9.1) differs from this run's speed line (9.3) - wrong manifest/campaign pairing?; decode bucket low-resolution: 2 interval(s) attributed to decode (coverage 2.05/3.21 s = 64%); j_per_tok_decode is sampling-granularity dominated — between-arm deltas of the same stem remain the sanctioned use
