run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_none_PURE,1,579655.12,579722.51,66.990,6.543,10.449,50.398,7.190,10.320,49.480,14.145,27.516,181.863,0.891,52,204,3.675,7,10,49,1.030,1.050,manifest campaign_gen_tps_r1 (3.9) differs from this run's speed line (4) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,2,579722.51,579793.01,69.030,9.655,10.446,50.398,9.280,10.330,49.420,14.824,27.833,180.259,0.884,52,204,3.646,9,10,49,1.030,1.050,manifest campaign_gen_tps_r2 (3.9) differs from this run's speed line (4) - wrong manifest/campaign pairing?
LFM2.5-2.6B-Q4_K_M_none_PURE,3,579793.01,579863.24,70.020,9.408,10.443,50.379,9.270,11.350,49.400,15.098,30.666,181.288,0.889,52,204,3.669,9,11,49,1.030,1.050,manifest campaign_gen_tps_r3 (3.9) differs from this run's speed line (4) - wrong manifest/campaign pairing?
