run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_primary_t2_p1_a55_t2,1,596494.07,596995.00,499.610,127.747,50.122,323.061,128.550,49.470,321.590,131.275,52.336,191.121,0.747,66,256,0.792,125,48,203,2.460,4.500,sampler cadence max 4.500 s exceeds 2 s (edge uncertainty up to one interval)
LFM2.5-2.6B-Q4_K_M_primary_t2_p1_a55_t2,2,596995.00,598014.92,1017.720,611.895,57.766,350.259,613.080,56.240,348.400,145.145,13.267,81.319,0.318,66,256,0.257,252,21,138,2.460,4.500,sampler cadence max 4.500 s exceeds 2 s (edge uncertainty up to one interval)
LFM2.5-2.6B-Q4_K_M_primary_t2_p1_a55_t2,3,598014.92,599080.90,1062.730,653.913,58.325,353.742,655.070,58.160,349.500,140.470,10.213,71.703,0.280,66,256,0.230,252,22,139,2.460,4.500,sampler cadence max 4.500 s exceeds 2 s (edge uncertainty up to one interval)
