t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
596494.07,-376000,4005000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
596495.09,-347000,4005000,240,Discharging,500000:500000:500000:500000:500000:500000:1300000:1300000
596496.12,-242000,4005000,240,Discharging,1400000:1400000:1400000:2000000:2000000:2000000:900000:900000
596497.14,-315000,4005000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596498.16,-311000,4005000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596499.18,-310000,4005000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596500.20,-335000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596501.23,-328000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596502.25,-342000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596503.28,-360000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596504.31,-514000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596505.33,-267000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596506.36,-263000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596507.39,-192000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596508.42,-222000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596509.44,-214000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596510.47,-216000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596511.49,-220000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596512.52,-219000,4005000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596513.55,-231000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596514.57,-215000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596515.60,-214000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596516.63,-221000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596517.65,-224000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596518.68,-222000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596519.71,-225000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596520.73,-213000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596521.76,-221000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596522.79,-237000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596523.82,-218000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596524.84,-222000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596525.87,-218000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596526.90,-216000,4012000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596527.92,-223000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596528.95,-216000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596529.98,-215000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596531.01,-219000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596532.03,-221000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596533.06,-220000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596534.09,-221000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596535.11,-220000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596536.14,-217000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596537.17,-226000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596538.19,-218000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596539.22,-215000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596540.25,-219000,4010000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596541.27,-219000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596542.30,-219000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596543.33,-228000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596544.36,-217000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596545.38,-217000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596546.41,-219000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596547.44,-217000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596548.46,-222000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596549.49,-221000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596550.52,-215000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596551.55,-217000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596552.57,-225000,4010000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596553.60,-228000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596554.63,-246000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596555.66,-236000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596556.69,-238000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596557.71,-283000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596558.75,-260000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596559.78,-260000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596560.81,-252000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596561.84,-262000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596562.87,-260000,4007000,240,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
