run_id,rep,window_start_s,window_end_s,duration,load_idle_s,prefill_s,decode_s,load_idle_s_int,prefill_s_int,decode_s_int,j_load_idle,j_prefill,j_decode,j_per_tok_decode,prompt_tokens,gen_tokens,w_decode,n_load_idle,n_prefill,n_decode,cadence_median_s,cadence_max_s,warnings
LFM2.5-2.6B-Q4_K_M_primary_t2_p3_a76_t2,1,599572.94,599678.51,104.890,21.184,15.310,69.076,23.890,12.640,68.360,24.349,7.548,168.120,0.657,66,256,2.460,16,6,66,1.040,3.350,sampler cadence max 3.350 s exceeds 2 s (edge uncertainty up to one interval)
LFM2.5-2.6B-Q4_K_M_primary_t2_p3_a76_t2,2,599678.51,599812.91,132.560,48.434,16.740,69.226,48.300,17.160,67.100,18.651,14.132,161.870,0.632,66,256,2.438,19,8,65,1.040,3.350,sampler cadence max 3.350 s exceeds 2 s (edge uncertainty up to one interval)
LFM2.5-2.6B-Q4_K_M_primary_t2_p3_a76_t2,3,599812.91,599942.73,129.400,44.815,16.194,68.810,45.620,15.670,68.110,23.632,12.875,159.860,0.624,66,256,2.404,18,9,65,1.040,3.350,sampler cadence max 3.350 s exceeds 2 s (edge uncertainty up to one interval)
